,blue_ca_1,blue_ca_2,blue_ca_3,blue_ca_4,blue_ca_5,blue_ca_6,blue_ca_7,blue_ca_8,blue_ca_9,blue_ca_10,blue_ca_11,blue_ca_12,blue_ca_13,blue_ca_14,blue_ca_15,blue_ca_16,blue_ca_17,outcome
0,2,0,3,2,0,1,6,6,3,-1887,-1908,42,-773,21,0,1114,4285,0
1,1,2,3,1,0,0,6,6,3,-19,1044,1039,0,-1004,1058,1219,1483,1
2,6,5,3,4,1,10,2,2,2,106,115,90,-1937,16,13,3364,470,1
3,6,5,3,4,1,10,17,17,25,282,-561,0,0,295,-280,1705,470,1
4,8,3,4,4,0,4,10,10,11,-133,-97,-133,-842,23,0,2002,138,1
5,7,3,3,5,0,3,1,1,1,-30,-73,24,1,134,70,1058,300,0
6,7,3,3,5,0,3,1,1,2,0,0,0,-7,111,0,2272,300,0
7,7,3,3,5,0,3,1,1,1,0,0,0,0,34,13,2444,300,0
8,3,9,2,1,0,6,1,1,2,1,0,0,28,21,35,2188,1065,1
9,16,26,9,10,2,21,1,1,1,26,17,11,-808,34,14,2198,169,0
10,16,26,9,10,2,21,10,10,11,-115,-96,-115,-873,40,0,1953,169,1
11,16,26,9,10,2,21,5,5,5,-12,-28,55,9,-47,67,778,169,0
12,16,26,9,10,2,21,10,10,15,0,-562,0,-41,13,10,1685,169,1
13,16,26,9,10,2,21,10,10,22,0,0,0,46,0,0,1805,169,1
14,16,26,9,10,2,21,10,10,31,2,0,0,0,16,22,2196,169,1
15,3,5,1,3,0,1,2,2,3,0,0,0,-313,0,0,2157,551,0
16,3,5,1,3,0,1,1,1,1,0,-62,3,-431,186,2,812,551,0
17,3,5,1,3,0,1,4,4,4,0,0,0,0,20,14,2203,551,0
18,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,377,2659,0
19,11,3,6,3,1,1,1,1,2,15,7,14,-505,21,6,1241,1355,0
20,9,7,5,4,0,3,1,1,2,0,0,0,0,24,0,1258,1454,0
21,9,7,5,4,0,3,6,6,3,-28,9,-28,0,0,0,2346,1454,0
22,5,10,2,2,0,1,1,1,2,-13,-9,-14,-1544,21,7,231,993,0
23,1,0,3,2,0,0,0,0,0,-606,-46,30,-322,136,0,284,3337,0
24,6,12,1,2,1,0,10,10,11,-1,49,-1,-885,9,0,1827,181,1
